"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.397557693E2,6.496591905E1,2.561809233E1,1.146060867E1,2.896807861E1,1.730000019E0,8.909999847E1,2.254219052E-1,9.935046196E0,2.500000000E0,6.800000000E1
1.407553752E2,6.496591872E1,2.561812790E1,1.143008590E1,2.893756104E1,1.700000048E0,9.059999847E1,2.272135026E-1,9.935046196E0,2.500000000E0,6.900000000E1
1.417551845E2,6.496591825E1,2.561816596E1,1.124306851E1,2.875054932E1,1.720000029E0,9.090000153E1,2.291360093E-1,9.935046196E0,2.500000000E0,6.900000000E1
1.427553465E2,6.496591790E1,2.561820681E1,1.115865096E1,2.866613770E1,1.700000048E0,9.130000305E1,2.309033397E-1,9.935046196E0,2.500000000E0,7.000000000E1
1.437556475E2,6.496591726E1,2.561824434E1,1.118934589E1,2.869683838E1,1.679999948E0,9.159999847E1,2.324965622E-1,9.935046196E0,2.500000000E0,7.000000000E1
1.447551259E2,6.496591721E1,2.561827820E1,1.115613807E1,2.866363525E1,1.669999957E0,9.030000305E1,2.341556513E-1,9.935046196E0,2.500000000E0,7.000000000E1
1.457552975E2,6.496591579E1,2.561831330E1,1.119836823E1,2.870587158E1,1.679999948E0,9.330000305E1,2.358122077E-1,9.935046196E0,2.500000000E0,7.300000000E1
1.467552742E2,6.496591551E1,2.561834850E1,1.121264537E1,2.872015381E1,1.750000000E0,9.340000153E1,2.375569597E-1,9.935046196E0,2.500000000E0,7.200000000E1
1.477551062E2,6.496591560E1,2.561838558E1,1.114483031E1,2.865234375E1,1.750000000E0,9.030000305E1,2.393379308E-1,9.935046196E0,2.500000000E0,7.200000000E1
1.487557223E2,6.496591567E1,2.561842343E1,1.126292822E1,2.877044678E1,1.720000029E0,8.959999847E1,2.411106163E-1,9.935046196E0,2.500000000E0,7.100000000E1
1.497555649E2,6.496591543E1,2.561846110E1,1.123063523E1,2.873815918E1,1.730000019E0,9.069999695E1,2.428804678E-1,9.935046196E0,2.500000000E0,7.200000000E1
