"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.636081384E2,6.496589541E1,2.561895209E1,8.573993620E0,1.639999986E0,9.859999847E1,9.935046196E0,2.500000000E0
1.646077360E2,6.496589302E1,2.561898685E1,8.516796628E0,1.679999948E0,9.969999695E1,9.935046196E0,2.500000000E0
1.656079176E2,6.496589038E1,2.561902088E1,8.838322642E0,1.669999957E0,1.000000000E2,9.935046196E0,2.500000000E0
1.666076836E2,6.496588779E1,2.561905402E1,8.505429881E0,1.649999976E0,1.005000000E2,9.935046196E0,2.500000000E0
1.676078816E2,6.496588581E1,2.561908715E1,8.370474716E0,1.679999948E0,1.005999985E2,9.935046196E0,2.500000000E0
1.686081692E2,6.496588333E1,2.561911968E1,8.602950795E0,1.629999995E0,1.009000015E2,9.935046196E0,2.500000000E0
1.696077126E2,6.496588078E1,2.561915581E1,8.490028365E0,1.659999967E0,1.011999969E2,9.935046196E0,2.500000000E0
1.706082910E2,6.496587723E1,2.561918933E1,8.296722035E0,1.679999948E0,1.041999969E2,9.935046196E0,2.500000000E0
1.716076598E2,6.496587474E1,2.561922295E1,8.126487994E0,1.679999948E0,1.008000031E2,9.935046196E0,2.500000000E0
1.726079792E2,6.496587209E1,2.561925718E1,8.040177057E0,1.679999948E0,1.040999985E2,9.935046196E0,2.500000000E0
1.736085585E2,6.496586819E1,2.561929154E1,8.346504066E0,1.720000029E0,1.054000015E2,9.935046196E0,2.500000000E0
1.746083351E2,6.496586515E1,2.561932548E1,8.356262131E0,1.649999976E0,1.041999969E2,9.935046196E0,2.500000000E0
1.756079842E2,6.496586176E1,2.561935993E1,8.253837174E0,1.639999986E0,1.029000015E2,9.935046196E0,2.500000000E0
1.766081121E2,6.496585901E1,2.561939469E1,8.346114935E0,1.610000014E0,9.990000153E1,9.935046196E0,2.500000000E0
1.776085002E2,6.496585471E1,2.561942903E1,8.400976720E0,1.639999986E0,1.064000015E2,9.935046196E0,2.500000000E0
1.786080139E2,6.496585109E1,2.561946364E1,8.414518318E0,1.679999948E0,1.031999969E2,9.935046196E0,2.500000000E0
1.796078326E2,6.496584832E1,2.561949757E1,8.544271759E0,1.669999957E0,1.045000000E2,9.935046196E0,2.500000000E0
1.806082985E2,6.496584434E1,2.561953309E1,8.385449606E0,1.679999948E0,1.064000015E2,9.935046196E0,2.500000000E0
